timestamp,ltp,volume
2021-06-17 09:20:33,207.4,814502
2021-06-17 09:20:36,207.45,815843
2021-06-17 09:20:37,207.45,816418
2021-06-17 09:20:38,207.4,816769
2021-06-17 09:20:39,207.45,818274
2021-06-17 09:20:41,207.45,820829
2021-06-17 09:20:42,207.45,820888
2021-06-17 09:20:43,207.45,820946
2021-06-17 09:20:44,207.45,821539
2021-06-17 09:20:45,207.45,822552
2021-06-17 09:20:46,207.45,823201
2021-06-17 09:20:47,207.5,825331
2021-06-17 09:20:47,207.5,825331
2021-06-17 09:20:48,207.25,846170
2021-06-17 09:20:49,207.3,852495
2021-06-17 09:20:51,207.3,854492
2021-06-17 09:20:52,207.3,855122
2021-06-17 09:20:53,207.2,855817
2021-06-17 09:20:54,207.25,855931
2021-06-17 09:20:55,207.25,856147
2021-06-17 09:20:56,207.2,856189
2021-06-17 09:20:57,207.25,856355
2021-06-17 09:20:57,207.2,856449
2021-06-17 09:20:58,207.25,856625
2021-06-17 09:20:59,207.3,857732
2021-06-17 09:21:00,207.2,859019
2021-06-17 09:21:01,207.3,859544
2021-06-17 09:21:02,207.25,862669
2021-06-17 09:21:04,207.2,862872
2021-06-17 09:21:05,207.3,863663
2021-06-17 09:21:06,207.2,865929
2021-06-17 09:21:07,207.2,866269
2021-06-17 09:21:08,207.2,866473
2021-06-17 09:21:09,207.25,866562
2021-06-17 09:21:10,207.3,866940
2021-06-17 09:21:11,207.35,867221
2021-06-17 09:21:12,207.4,867351
2021-06-17 09:21:13,207.45,872704
2021-06-17 09:21:14,207.45,872813
2021-06-17 09:21:14,207.3,874661
2021-06-17 09:21:15,207.3,875130
2021-06-17 09:21:16,207.35,875205
2021-06-17 09:21:17,207.35,875205
2021-06-17 09:21:20,207.3,877346
2021-06-17 09:21:21,207.3,878980
2021-06-17 09:21:22,207.35,879912
2021-06-17 09:21:23,207.3,880978
2021-06-17 09:21:24,207.3,882130
2021-06-17 09:21:25,207.3,883662
2021-06-17 09:21:25,207.3,883794
2021-06-17 09:21:26,207.3,883808
2021-06-17 09:21:27,207.25,883966
2021-06-17 09:21:28,207.35,884252
2021-06-17 09:21:30,207.25,892479
2021-06-17 09:21:31,207.25,893915
2021-06-17 09:21:32,207.25,893994
2021-06-17 09:21:33,207.25,894100
2021-06-17 09:21:33,207.25,894100
2021-06-17 09:21:35,207.25,897539
2021-06-17 09:21:36,207.15,897760
2021-06-17 09:21:36,207.15,897731
2021-06-17 09:21:37,207.25,898252
2021-06-17 09:21:38,207.2,898441
2021-06-17 09:21:40,207.25,900245
2021-06-17 09:21:41,207.15,902046
2021-06-17 09:21:43,207.15,904520
2021-06-17 09:21:46,207.15,906529
2021-06-17 09:21:47,207.25,908747
2021-06-17 09:21:49,207.25,909769
2021-06-17 09:21:50,207.15,909807
2021-06-17 09:21:51,207.25,910222
2021-06-17 09:21:52,207.2,910622
2021-06-17 09:21:53,207.2,911269
2021-06-17 09:21:54,207.2,911320
2021-06-17 09:21:55,207.15,911593
2021-06-17 09:21:56,207.2,912668
2021-06-17 09:21:57,207.2,912844
2021-06-17 09:21:58,207.2,914069
2021-06-17 09:21:59,207.15,914567
2021-06-17 09:22:00,207.15,914913
2021-06-17 09:22:01,207.15,915834
2021-06-17 09:22:02,207.1,917289
2021-06-17 09:22:03,207.2,917595
2021-06-17 09:22:04,207.2,919456
2021-06-17 09:22:05,207.15,919844
2021-06-17 09:22:06,207.1,919955
2021-06-17 09:22:07,207.1,920222
2021-06-17 09:22:08,207.1,920344
2021-06-17 09:22:09,207.1,921165
2021-06-17 09:22:10,207.1,921367
2021-06-17 09:22:11,207.15,922299
2021-06-17 09:22:12,207.15,922495
2021-06-17 09:22:13,207.15,922495
2021-06-17 09:22:13,207.15,922495
2021-06-17 09:22:14,207.15,922806
2021-06-17 09:22:16,207.2,924212
2021-06-17 09:22:17,207.2,924212
2021-06-17 09:22:18,207.2,924449
2021-06-17 09:22:19,207.2,924548
2021-06-17 09:22:20,207.2,924759
2021-06-17 09:22:21,207.2,925308
2021-06-17 09:22:22,207.2,925570
2021-06-17 09:22:23,207.15,926282
2021-06-17 09:22:24,207.2,926542
2021-06-17 09:22:24,207.15,926587
2021-06-17 09:22:26,207.2,927187
2021-06-17 09:22:27,207.1,927960
2021-06-17 09:22:28,207.2,928194
2021-06-17 09:22:30,207.2,931354
2021-06-17 09:22:31,207.2,933298
2021-06-17 09:22:32,207.15,933335
2021-06-17 09:22:33,207.15,933892
2021-06-17 09:22:34,207.2,934147
2021-06-17 09:22:35,207.1,955789
2021-06-17 09:22:36,207.1,956928
2021-06-17 09:22:36,207.1,957187
2021-06-17 09:22:37,207.1,960603
2021-06-17 09:22:39,207.05,961926
2021-06-17 09:22:40,207.05,965659
2021-06-17 09:22:41,207.05,966493
2021-06-17 09:22:43,207.05,967375
2021-06-17 09:22:44,207.05,967663
2021-06-17 09:22:45,207.05,968379
2021-06-17 09:22:46,207.05,968549
2021-06-17 09:22:47,207.1,969148
2021-06-17 09:22:48,207.1,969396
2021-06-17 09:22:49,207.05,969661
2021-06-17 09:22:50,207.05,972112
2021-06-17 09:22:51,207.1,972499
2021-06-17 09:22:52,207.05,973046
2021-06-17 09:22:53,207.1,973422
2021-06-17 09:22:54,207.05,980726
2021-06-17 09:22:55,207.05,982446
2021-06-17 09:22:56,207.05,982738
2021-06-17 09:22:57,207.05,984340
2021-06-17 09:22:58,207.05,984728
2021-06-17 09:22:59,207.1,985112
2021-06-17 09:23:00,207.05,985167
2021-06-17 09:23:01,207.05,985584
